Date,Close,lgbm,lstm,final_pred
2024-05-11,,170.42436194973934,175.64262,170.42436194973934
2024-05-12,,170.42436194973934,175.71538,170.42436194973934
2024-05-13,,170.42436194973934,175.62991,170.42436194973934
2024-05-14,,170.42436194973934,175.45883,170.42436194973934
2024-05-15,,170.42436194973934,175.25542,170.42436194973934
2024-05-16,,170.42436194973934,175.05507,170.42436194973934
2024-05-17,,170.42436194973934,174.8788,170.42436194973934
2024-05-18,,170.42436194973934,174.73662,170.42436194973934
2024-05-19,,170.42436194973934,174.63092,170.42436194973934
2024-05-20,,170.42436194973934,174.55928,170.42436194973934
2024-05-21,,170.42436194973934,174.5167,170.42436194973934
2024-05-22,,170.42436194973934,174.49713,170.42436194973934
2024-05-23,,170.42436194973934,174.4945,170.42436194973934
2024-05-24,,170.42436194973934,174.50343,170.42436194973934
2024-05-25,,170.42436194973934,174.5194,170.42436194973934
2024-05-26,,170.42436194973934,174.5389,170.42436194973934
2024-05-27,,170.42436194973934,174.55942,170.42436194973934
2024-05-28,,170.42436194973934,174.57924,170.42436194973934
2024-05-29,,170.42436194973934,174.59729,170.42436194973934
2024-05-30,,170.42436194973934,174.61307,170.42436194973934
2024-05-31,,170.42436194973934,174.62637,170.42436194973934
2024-06-01,,170.42436194973934,174.63733,170.42436194973934
2024-06-02,,170.42436194973934,174.64607,170.42436194973934
2024-06-03,,170.42436194973934,174.65291,170.42436194973934
2024-06-04,,170.42436194973934,174.65814,170.42436194973934
2024-06-05,,170.42436194973934,174.66206,170.42436194973934
2024-06-06,,170.42436194973934,174.66496,170.42436194973934
2024-06-07,,170.42436194973934,174.66702,170.42436194973934
2024-06-08,,170.42436194973934,174.66849,170.42436194973934
2024-06-09,,170.42436194973934,174.66951,170.42436194973934
